,StreetAddress,City,Price,Size
0,613 E 400 S,"Salt Lake City, UT 84102",$40.00 - $45.00 /Sq Ft/yr,"1,800 - 2,455 Sq Ft"
1,4411-4500 S 2950 E,"Salt Lake City, UT 84124",$15.00 /Sq Ft/yr,"3,000 Sq Ft"
2,2358-2364 S Main St,"Salt Lake City, UT 84115",$10.00 /Sq Ft/yr,"3,345 Sq Ft"
3,1107 S State St,"Salt Lake City, UT 84111",$10.00 /Sq Ft/yr,"3,485 Sq Ft"
4,917 S State St,"Salt Lake City, UT 84111",$16.00 /Sq Ft/yr,"3,400 Sq Ft"
5,965 E 900 S,"Salt Lake City, UT 84105",$17.50 /Sq Ft/yr,"1,200 Sq Ft"
6,979 S State St,"Salt Lake City, UT 84111",$19.50 /Sq Ft/yr,"11,218 - 15,956 Sq Ft"
7,3881 W 3500 S,"Salt Lake City, UT 84120",$15.00 /Sq Ft/yr,"5,450 Sq Ft"
8,1084 S State St,"Salt Lake City, UT 84111",$13.19 /Sq Ft/yr,"5,459 Sq Ft"
9,6151-6191 S Highland Dr,"Salt Lake City, UT 84121",$16.00 /Sq Ft/yr,"3,396 Sq Ft"
10,161 W 900 S,"Salt Lake City, UT 84101",$25.00 /Sq Ft/yr,"1,625 Sq Ft"
11,2583 S State St,"Salt Lake City, UT 84115",$12.00 /Sq Ft/yr,"1,660 Sq Ft"
12,969 S 300 W,"Salt Lake City, UT 84101",$17.00 /Sq Ft/yr,"1,986 - 2,257 Sq Ft"
13,2231-2245 E Murray Holladay Rd,"Salt Lake City, UT 84117",$26.00 /Sq Ft/yr,"1,356 Sq Ft"
14,3636-3658 W 2100 S,"Salt Lake City, UT 84120",$10.20 - $11.40 /Sq Ft/yr,"625 - 2,250 Sq Ft"
15,2850 S Redwood,"Salt Lake City, UT 84119",$13.20 /Sq Ft/yr,"1,200 - 2,400 Sq Ft"
16,3144 S State St,"Salt Lake City, UT 84115",$27.50 /Sq Ft/yr,"1,310 Sq Ft"
17,3737 S 900 E,"Salt Lake City, UT 84106",$30.00 /Sq Ft/yr,"1,892 - 1,910 Sq Ft"
18,365 Paxton Ave,"Salt Lake City, UT 84101",$24.00 /Sq Ft/yr,"1,000 - 4,591 Sq Ft"
19,12600 South Pasture Rd,"Salt Lake City, UT 84101",$25.00 /Sq Ft/yr,"1,763 Sq Ft"
20,122 S Main St,"Salt Lake City, UT 84101",$22.50 /Sq Ft/yr,"2,400 Sq Ft"
21,3125 S State St,"Salt Lake City, UT 84115",$9.75 /Sq Ft/yr,"16,140 Sq Ft"
22,1324 S 2100 E,"Salt Lake City, UT 84108",$12.00 - $24.00 /Sq Ft/yr,"800 - 4,311 Sq Ft"
23,3615 S Redwood Rd,"Salt Lake City, UT 84119",$15.00 /Sq Ft/yr,"3,000 - 19,448 Sq Ft"
24,2285 S Main St,"Salt Lake City, UT 84115",$15.00 /Sq Ft/yr,925 - 955 Sq Ft
25,1030 E 2nd Ave,"Salt Lake City, UT 84103",$21.00 /Sq Ft/yr,"1,970 Sq Ft"
26,110 W 900 S,"Salt Lake City, UT 84101",$26.50 /Sq Ft/yr,"1,204 - 1,962 Sq Ft"
27,2527 S State St,"Salt Lake City, UT 84115",$14.00 /Sq Ft/yr,"1,276 Sq Ft"
28,1080-1110 S 300 W,"Salt Lake City, UT 84101",$28.00 /Sq Ft/yr,"1,788 - 2,800 Sq Ft"
29,3330 S 5600 W,"Salt Lake City, UT 84128",$18.00 - $25.00 /Sq Ft/yr,"1,400 - 5,000 Sq Ft"
